ProductKey,ProductItemCode,Product Subcategory Name,Product Category Name,EnglishProductName,Product Color,Product Size,Product Line,Model Name,English Description,Product Status
37,GT-2908,NULL,NULL,HL Grip Tape,NA,NULL,NULL,NULL,NULL,Current
38,HJ-1213,NULL,NULL,Thin-Jam Hex Nut 9,NA,NULL,NULL,NULL,NULL,Current
39,HJ-1220,NULL,NULL,Thin-Jam Hex Nut 10,NA,NULL,NULL,NULL,NULL,Current
40,HJ-1420,NULL,NULL,Thin-Jam Hex Nut 1,NA,NULL,NULL,NULL,NULL,Current
41,HJ-1428,NULL,NULL,Thin-Jam Hex Nut 2,NA,NULL,NULL,NULL,NULL,Current
42,HJ-3410,NULL,NULL,Thin-Jam Hex Nut 15,NA,NULL,NULL,NULL,NULL,Current
43,HJ-3416,NULL,NULL,Thin-Jam Hex Nut 16,NA,NULL,NULL,NULL,NULL,Current
44,HJ-3816,NULL,NULL,Thin-Jam Hex Nut 5,NA,NULL,NULL,NULL,NULL,Current
45,HJ-3824,NULL,NULL,Thin-Jam Hex Nut 6,NA,NULL,NULL,NULL,NULL,Current
46,HJ-5161,NULL,NULL,Thin-Jam Hex Nut 3,NA,NULL,NULL,NULL,NULL,Current
47,HJ-5162,NULL,NULL,Thin-Jam Hex Nut 4,NA,NULL,NULL,NULL,NULL,Current
48,HJ-5811,NULL,NULL,Thin-Jam Hex Nut 13,NA,NULL,NULL,NULL,NULL,Current
49,HJ-5818,NULL,NULL,Thin-Jam Hex Nut 14,NA,NULL,NULL,NULL,NULL,Current
50,HJ-7161,NULL,NULL,Thin-Jam Hex Nut 7,NA,NULL,NULL,NULL,NULL,Current
51,HJ-7162,NULL,NULL,Thin-Jam Hex Nut 8,NA,NULL,NULL,NULL,NULL,Current
52,HJ-9080,NULL,NULL,Thin-Jam Hex Nut 12,NA,NULL,NULL,NULL,NULL,Current
53,HJ-9161,NULL,NULL,Thin-Jam Hex Nut 11,NA,NULL,NULL,NULL,NULL,Current
54,HN-1024,NULL,NULL,Hex Nut 5,NA,NULL,NULL,NULL,NULL,Current
55,HN-1032,NULL,NULL,Hex Nut 6,NA,NULL,NULL,NULL,NULL,Current
56,HN-1213,NULL,NULL,Hex Nut 16,NA,NULL,NULL,NULL,NULL,Current
57,HN-1220,NULL,NULL,Hex Nut 17,NA,NULL,NULL,NULL,NULL,Current
58,HN-1224,NULL,NULL,Hex Nut 7,NA,NULL,NULL,NULL,NULL,Current
59,HN-1420,NULL,NULL,Hex Nut 8,NA,NULL,NULL,NULL,NULL,Current
60,HN-1428,NULL,NULL,Hex Nut 9,NA,NULL,NULL,NULL,NULL,Current
61,HN-3410,NULL,NULL,Hex Nut 22,NA,NULL,NULL,NULL,NULL,Current
62,HN-3416,NULL,NULL,Hex Nut 23,NA,NULL,NULL,NULL,NULL,Current
63,HN-3816,NULL,NULL,Hex Nut 12,NA,NULL,NULL,NULL,NULL,Current
64,HN-3824,NULL,NULL,Hex Nut 13,NA,NULL,NULL,NULL,NULL,Current
65,HN-4402,NULL,NULL,Hex Nut 1,NA,NULL,NULL,NULL,NULL,Current
66,HN-5161,NULL,NULL,Hex Nut 10,NA,NULL,NULL,NULL,NULL,Current
67,HN-5162,NULL,NULL,Hex Nut 11,NA,NULL,NULL,NULL,NULL,Current
68,HN-5400,NULL,NULL,Hex Nut 2,NA,NULL,NULL,NULL,NULL,Current
69,HN-5811,NULL,NULL,Hex Nut 20,NA,NULL,NULL,NULL,NULL,Current
70,HN-5818,NULL,NULL,Hex Nut 21,NA,NULL,NULL,NULL,NULL,Current
71,HN-6320,NULL,NULL,Hex Nut 3,NA,NULL,NULL,NULL,NULL,Current
72,HN-7161,NULL,NULL,Hex Nut 14,NA,NULL,NULL,NULL,NULL,Current
73,HN-7162,NULL,NULL,Hex Nut 15,NA,NULL,NULL,NULL,NULL,Current
74,HN-8320,NULL,NULL,Hex Nut 4,NA,NULL,NULL,NULL,NULL,Current
75,HN-9161,NULL,NULL,Hex Nut 18,NA,NULL,NULL,NULL,NULL,Current
76,HN-9168,NULL,NULL,Hex Nut 19,NA,NULL,NULL,NULL,NULL,Current
77,HT-2981,NULL,NULL,Handlebar Tube,NA,NULL,NULL,NULL,NULL,Current
78,HT-8019,NULL,NULL,Head Tube,NA,NULL,NULL,NULL,NULL,Current
79,HU-6280,NULL,NULL,LL Hub,NA,NULL,NULL,NULL,NULL,Current
80,HU-8998,NULL,NULL,HL Hub,NA,NULL,NULL,NULL,NULL,Current
81,KW-4091,NULL,NULL,Keyed Washer,NA,NULL,NULL,NULL,NULL,Current
82,LE-1000,NULL,NULL,External Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current
83,LE-1200,NULL,NULL,External Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current
84,LE-1201,NULL,NULL,External Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current
85,LE-1400,NULL,NULL,External Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current
86,LE-3800,NULL,NULL,External Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current
87,LE-5160,NULL,NULL,External Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current
88,LE-6000,NULL,NULL,External Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current
89,LE-7160,NULL,NULL,External Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current
90,LE-8000,NULL,NULL,External Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current
91,LI-1000,NULL,NULL,Internal Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current
92,LI-1200,NULL,NULL,Internal Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current
93,LI-1201,NULL,NULL,Internal Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current
94,LI-1400,NULL,NULL,Internal Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current
95,LI-3800,NULL,NULL,Internal Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current
96,LI-5160,NULL,NULL,Internal Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current
97,LI-5800,NULL,NULL,Internal Lock Washer 10,NA,NULL,NULL,NULL,NULL,Current
98,LI-6000,NULL,NULL,Internal Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current
99,LI-7160,NULL,NULL,Internal Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current
100,LI-8000,NULL,NULL,Internal Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current
101,LJ-1213,NULL,NULL,Thin-Jam Lock Nut 9,NA,NULL,NULL,NULL,NULL,Current
102,LJ-1220,NULL,NULL,Thin-Jam Lock Nut 10,NA,NULL,NULL,NULL,NULL,Current
103,LJ-1420,NULL,NULL,Thin-Jam Lock Nut 1,NA,NULL,NULL,NULL,NULL,Current
104,LJ-1428,NULL,NULL,Thin-Jam Lock Nut 2,NA,NULL,NULL,NULL,NULL,Current
105,LJ-3410,NULL,NULL,Thin-Jam Lock Nut 15,NA,NULL,NULL,NULL,NULL,Current
106,LJ-3416,NULL,NULL,Thin-Jam Lock Nut 16,NA,NULL,NULL,NULL,NULL,Current
107,LJ-3816,NULL,NULL,Thin-Jam Lock Nut 5,NA,NULL,NULL,NULL,NULL,Current
108,LJ-3824,NULL,NULL,Thin-Jam Lock Nut 6,NA,NULL,NULL,NULL,NULL,Current
109,LJ-5161,NULL,NULL,Thin-Jam Lock Nut 3,NA,NULL,NULL,NULL,NULL,Current
110,LJ-5162,NULL,NULL,Thin-Jam Lock Nut 4,NA,NULL,NULL,NULL,NULL,Current
111,LJ-5811,NULL,NULL,Thin-Jam Lock Nut 13,NA,NULL,NULL,NULL,NULL,Current
112,LJ-5818,NULL,NULL,Thin-Jam Lock Nut 14,NA,NULL,NULL,NULL,NULL,Current
113,LJ-7161,NULL,NULL,Thin-Jam Lock Nut 7,NA,NULL,NULL,NULL,NULL,Current
114,LJ-7162,NULL,NULL,Thin-Jam Lock Nut 8,NA,NULL,NULL,NULL,NULL,Current
115,LJ-9080,NULL,NULL,Thin-Jam Lock Nut 12,NA,NULL,NULL,NULL,NULL,Current
116,LJ-9161,NULL,NULL,Thin-Jam Lock Nut 11,NA,NULL,NULL,NULL,NULL,Current
117,LN-1024,NULL,NULL,Lock Nut 5,NA,NULL,NULL,NULL,NULL,Current
118,LN-1032,NULL,NULL,Lock Nut 6,NA,NULL,NULL,NULL,NULL,Current
119,LN-1213,NULL,NULL,Lock Nut 16,NA,NULL,NULL,NULL,NULL,Current
120,LN-1220,NULL,NULL,Lock Nut 17,NA,NULL,NULL,NULL,NULL,Current
121,LN-1224,NULL,NULL,Lock Nut 7,NA,NULL,NULL,NULL,NULL,Current
122,LN-1420,NULL,NULL,Lock Nut 8,NA,NULL,NULL,NULL,NULL,Current
123,LN-1428,NULL,NULL,Lock Nut 9,NA,NULL,NULL,NULL,NULL,Current
124,LN-3410,NULL,NULL,Lock Nut 22,NA,NULL,NULL,NULL,NULL,Current
125,LN-3416,NULL,NULL,Lock Nut 23,NA,NULL,NULL,NULL,NULL,Current
126,LN-3816,NULL,NULL,Lock Nut 12,NA,NULL,NULL,NULL,NULL,Current
127,LN-3824,NULL,NULL,Lock Nut 13,NA,NULL,NULL,NULL,NULL,Current
128,LN-4400,NULL,NULL,Lock Nut 1,NA,NULL,NULL,NULL,NULL,Current
129,LN-5161,NULL,NULL,Lock Nut 10,NA,NULL,NULL,NULL,NULL,Current
130,LN-5162,NULL,NULL,Lock Nut 11,NA,NULL,NULL,NULL,NULL,Current
131,LN-5400,NULL,NULL,Lock Nut 2,NA,NULL,NULL,NULL,NULL,Current
132,LN-5811,NULL,NULL,Lock Nut 20,NA,NULL,NULL,NULL,NULL,Current
133,LN-5818,NULL,NULL,Lock Nut 21,NA,NULL,NULL,NULL,NULL,Current
134,LN-6320,NULL,NULL,Lock Nut 3,NA,NULL,NULL,NULL,NULL,Current
135,LN-7161,NULL,NULL,Lock Nut 14,NA,NULL,NULL,NULL,NULL,Current
136,LN-7162,NULL,NULL,Lock Nut 15,NA,NULL,NULL,NULL,NULL,Current
137,LN-8320,NULL,NULL,Lock Nut 4,NA,NULL,NULL,NULL,NULL,Current
138,LN-9080,NULL,NULL,Lock Nut 19,NA,NULL,NULL,NULL,NULL,Current
139,LN-9161,NULL,NULL,Lock Nut 18,NA,NULL,NULL,NULL,NULL,Current
140,LR-2398,NULL,NULL,Lock Ring,Silver,NULL,NULL,NULL,NULL,Current
141,LR-8520,NULL,NULL,Lower Head Race,NA,NULL,NULL,NULL,NULL,Current
142,LW-1000,NULL,NULL,Lock Washer 4,NA,NULL,NULL,NULL,NULL,Current
143,LW-1200,NULL,NULL,Lock Washer 5,NA,NULL,NULL,NULL,NULL,Current
144,LW-1201,NULL,NULL,Lock Washer 10,NA,NULL,NULL,NULL,NULL,Current
145,LW-1400,NULL,NULL,Lock Washer 6,NA,NULL,NULL,NULL,NULL,Current
146,LW-3400,NULL,NULL,Lock Washer 13,NA,NULL,NULL,NULL,NULL,Current
147,LW-3800,NULL,NULL,Lock Washer 8,NA,NULL,NULL,NULL,NULL,Current
148,LW-4000,NULL,NULL,Lock Washer 1,NA,NULL,NULL,NULL,NULL,Current
149,LW-5160,NULL,NULL,Lock Washer 7,NA,NULL,NULL,NULL,NULL,Current
150,LW-5800,NULL,NULL,Lock Washer 12,NA,NULL,NULL,NULL,NULL,Current
151,LW-6000,NULL,NULL,Lock Washer 2,NA,NULL,NULL,NULL,NULL,Current
152,LW-7160,NULL,NULL,Lock Washer 9,NA,NULL,NULL,NULL,NULL,Current
153,LW-8000,NULL,NULL,Lock Washer 3,NA,NULL,NULL,NULL,NULL,Current
154,LW-9160,NULL,NULL,Lock Washer 11,NA,NULL,NULL,NULL,NULL,Current
155,MA-7075,NULL,NULL,Metal Angle,NA,NULL,NULL,NULL,NULL,Current
156,MB-2024,NULL,NULL,Metal Bar 1,NA,NULL,NULL,NULL,NULL,Current
157,MB-6061,NULL,NULL,Metal Bar 2,NA,NULL,NULL,NULL,NULL,Current
158,MP-2066,NULL,NULL,Metal Plate 2,NA,NULL,NULL,NULL,NULL,Current
159,MP-2503,NULL,NULL,Metal Plate 1,NA,NULL,NULL,NULL,NULL,Current
160,MP-4960,NULL,NULL,Metal Plate 3,NA,NULL,NULL,NULL,NULL,Current
161,MS-0253,NULL,NULL,Metal Sheet 2,NA,NULL,NULL,NULL,NULL,Current
162,MS-1256,NULL,NULL,Metal Sheet 3,NA,NULL,NULL,NULL,NULL,Current
163,MS-1981,NULL,NULL,Metal Sheet 7,NA,NULL,NULL,NULL,NULL,Current
164,MS-2259,NULL,NULL,Metal Sheet 4,NA,NULL,NULL,NULL,NULL,Current
165,MS-2341,NULL,NULL,Metal Sheet 5,NA,NULL,NULL,NULL,NULL,Current
166,MS-2348,NULL,NULL,Metal Sheet 6,NA,NULL,NULL,NULL,NULL,Current
167,MS-6061,NULL,NULL,Metal Sheet 1,NA,NULL,NULL,NULL,NULL,Current
168,MT-1000,NULL,NULL,Metal Tread Plate,NA,NULL,NULL,NULL,NULL,Current
169,NI-4127,NULL,NULL,LL Nipple,NA,NULL,NULL,NULL,NULL,Current
170,NI-9522,NULL,NULL,HL Nipple,NA,NULL,NULL,NULL,NULL,Current
171,PA-187B,NULL,NULL,Paint - Black,NA,NULL,NULL,NULL,NULL,Current
172,PA-361R,NULL,NULL,Paint - Red,NA,NULL,NULL,NULL,NULL,Current
173,PA-529S,NULL,NULL,Paint - Silver,NA,NULL,NULL,NULL,NULL,Current
174,PA-632U,NULL,NULL,Paint - Blue,NA,NULL,NULL,NULL,NULL,Current
175,PA-823Y,NULL,NULL,Paint - Yellow,NA,NULL,NULL,NULL,NULL,Current
176,PB-6109,NULL,NULL,Pinch Bolt,NA,NULL,NULL,NULL,NULL,Current
177,RA-2345,NULL,NULL,Cup-Shaped Race,NA,NULL,NULL,NULL,NULL,Current
178,RA-7490,NULL,NULL,Cone-Shaped Race,NA,NULL,NULL,NULL,NULL,Current
179,RF-9198,NULL,NULL,Reflector,NA,NULL,NULL,NULL,NULL,Current
180,RM-M464,NULL,NULL,LL Mountain Rim,NA,NULL,NULL,NULL,NULL,Current
181,RM-M692,NULL,NULL,ML Mountain Rim,NA,NULL,NULL,NULL,NULL,Current
182,RM-M823,NULL,NULL,HL Mountain Rim,NA,NULL,NULL,NULL,NULL,Current
183,RM-R436,NULL,NULL,LL Road Rim,NA,NULL,NULL,NULL,NULL,Current
184,RM-R600,NULL,NULL,ML Road Rim,NA,NULL,NULL,NULL,NULL,Current
185,RM-R800,NULL,NULL,HL Road Rim,NA,NULL,NULL,NULL,NULL,Current
186,RM-T801,NULL,NULL,Touring Rim,NA,NULL,NULL,NULL,NULL,Current
187,SA-M198,NULL,NULL,LL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
188,SA-M237,NULL,NULL,ML Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
189,SA-M687,NULL,NULL,HL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
190,SA-R127,NULL,NULL,LL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
191,SA-R430,NULL,NULL,ML Road Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
192,SA-R522,NULL,NULL,HL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
193,SA-T467,NULL,NULL,LL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
194,SA-T612,NULL,NULL,ML Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
195,SA-T872,NULL,NULL,HL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,Current
196,SD-2342,NULL,NULL,LL Spindle/Axle,NA,NULL,NULL,NULL,NULL,Current
197,SD-9872,NULL,NULL,HL Spindle/Axle,NA,NULL,NULL,NULL,NULL,Current
198,SH-4562,NULL,NULL,LL Shell,NA,NULL,NULL,NULL,NULL,Current
199,SH-9312,NULL,NULL,HL Shell,NA,NULL,NULL,NULL,NULL,Current
200,SK-9283,NULL,NULL,Spokes,NA,NULL,NULL,NULL,NULL,Current
201,SL-0931,NULL,NULL,Seat Lug,NA,NULL,NULL,NULL,NULL,Current
202,SM-9087,NULL,NULL,Stem,NA,NULL,NULL,NULL,NULL,Current
203,SP-2981,NULL,NULL,Seat Post,NA,NULL,NULL,NULL,NULL,Current
204,SR-2098,NULL,NULL,Steerer,NA,NULL,NULL,NULL,NULL,Current
205,SS-2985,NULL,NULL,Seat Stays,NA,NULL,NULL,NULL,NULL,Current
206,ST-9828,NULL,NULL,Seat Tube,NA,NULL,NULL,NULL,NULL,Current
207,TO-2301,NULL,NULL,Top Tube,NA,NULL,NULL,NULL,NULL,Current
208,TP-0923,NULL,NULL,Tension Pulley,NA,NULL,NULL,NULL,NULL,Current
209,RC-0291,NULL,NULL,Rear Derailleur Cage,Silver,NULL,NULL,NULL,NULL,Current
210,FR-R92B-58,Road Frames,Components,"HL Road Frame - Black, 58",Black,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
211,FR-R92R-58,Road Frames,Components,"HL Road Frame - Red, 58",Red,58,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
212,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
213,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
214,HL-U509-R,Helmets,Accessories,"Sport-100 Helmet, Red",Red,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
215,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
216,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
217,HL-U509,Helmets,Accessories,"Sport-100 Helmet, Black",Black,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
218,SO-B909-M,Socks,Clothing,"Mountain Bike Socks, M",White,M,"M ",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
219,SO-B909-L,Socks,Clothing,"Mountain Bike Socks, L",White,L,"M ",Mountain Bike Socks,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,Outdate
220,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
221,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Outdate
222,HL-U509-B,Helmets,Accessories,"Sport-100 Helmet, Blue",Blue,NULL,"S ",Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",Current
223,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate
224,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Outdate
225,CA-1098,Caps,Clothing,AWC Logo Cap,Multi,NULL,"S ",Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,Current
226,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
227,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
228,LJ-0192-S,Jerseys,Clothing,"Long-Sleeve Logo Jersey, S",Multi,S,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
229,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
230,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
231,LJ-0192-M,Jerseys,Clothing,"Long-Sleeve Logo Jersey, M",Multi,M,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
232,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
233,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
234,LJ-0192-L,Jerseys,Clothing,"Long-Sleeve Logo Jersey, L",Multi,L,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
235,LJ-0192-X,Jerseys,Clothing,"Long-Sleeve Logo Jersey, XL",Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
236,LJ-0192-X,Jerseys,Clothing,"Long-Sleeve Logo Jersey, XL",Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Outdate
237,LJ-0192-X,Jerseys,Clothing,"Long-Sleeve Logo Jersey, XL",Multi,XL,"S ",Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,Current
238,FR-R92R-62,Road Frames,Components,"HL Road Frame - Red, 62",Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
239,FR-R92R-62,Road Frames,Components,"HL Road Frame - Red, 62",Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
240,FR-R92R-62,Road Frames,Components,"HL Road Frame - Red, 62",Red,62,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
241,FR-R92R-44,Road Frames,Components,"HL Road Frame - Red, 44",Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
242,FR-R92R-44,Road Frames,Components,"HL Road Frame - Red, 44",Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
243,FR-R92R-44,Road Frames,Components,"HL Road Frame - Red, 44",Red,44,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
244,FR-R92R-48,Road Frames,Components,"HL Road Frame - Red, 48",Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
245,FR-R92R-48,Road Frames,Components,"HL Road Frame - Red, 48",Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
246,FR-R92R-48,Road Frames,Components,"HL Road Frame - Red, 48",Red,48,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Current
247,FR-R92R-52,Road Frames,Components,"HL Road Frame - Red, 52",Red,52,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
248,FR-R92R-52,Road Frames,Components,"HL Road Frame - Red, 52",Red,52,"R ",HL Road Frame,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,Outdate
